,fold,Tree K50,SVM K50,Tree K100,SVM K100,Tree K300,SVM K300,Tree K1000,SVM K1000,Tree K3000,SVM K3000
,Fold-1,0.7641325536062380,0.7475409836065570,0.7641325536062380,0.6032786885245900,0.7641325536062380,0.7380182299323730,0.7641325536062380,0.7747806304842380,0.7641325536062380,0.6600274725274720
,Fold-2,0.763855421686747,0.5665847665847660,0.763855421686747,0.6628992628992630,0.7012195121951220,0.8886363636363640,0.7012195121951220,0.6628992628992630,0.7012195121951220,0.7116435477091210
,Fold-3,0.77741069584968,0.8195211786372010,0.77741069584968,0.8461538461538460,0.7916666666666670,0.877652933832709,0.7509286412512220,0.8917127071823200,0.7916666666666670,0.8461538461538460
,Fold-4,0.5688888888888890,0.8637640449438200,0.6049498746867170,0.8916201117318440,0.6309346567411080,0.8098039215686280,0.6309346567411080,0.8665015139003580,0.6309346567411080,0.8885057471264370
SLR,Fold-0,0.8545454545454540,0.873015873015873,0.38461538461538500,0.8545454545454540,0.38461538461538500,1,0.38461538461538500,0.8545454545454540,0.38461538461538500,0.8545454545454540
,Fold-1,0.8545454545454540,0.4666666666666670,0.38461538461538500,1,0.38461538461538500,0.873015873015873,0.38461538461538500,0.873015873015873,0.38461538461538500,0.873015873015873
,Fold-2,0.8545454545454540,0.6666666666666670,0.38461538461538500,0.6666666666666670,0.38461538461538500,0.6666666666666670,0.38461538461538500,0.8545454545454540,0.38461538461538500,0.6666666666666670
,Fold-3,0.8444444444444450,0.8571428571428570,0.3636363636363640,1,0.3636363636363640,1,0.3636363636363640,1,0.3636363636363640,0.8571428571428570
,Fold-4,0.7777777777777780,1,0.4,1,0.4,1,0.4,0.7777777777777780,0.4,0.7777777777777780
XBI,Fold-0,0.8676122931442080,0.8959752321981420,0.8676122931442080,0.7824397824397820,0.8676122931442080,0.7824397824397820,0.8676122931442080,0.7824397824397820,0.8676122931442080,0.7824397824397820
,Fold-1,0.8676122931442080,0.8541666666666670,0.8676122931442080,0.8367346938775510,0.8676122931442080,0.8367346938775510,0.8676122931442080,0.8367346938775510,0.8676122931442080,0.7824397824397820
,Fold-2,0.7940074906367040,0.8260594560404810,0.7940074906367040,0.8363095238095240,0.7727272727272730,0.8363095238095240,0.7727272727272730,0.8363095238095240,0.7940074906367040,0.8363095238095240
,Fold-3,0.8537234042553190,0.8956356736242880,0.8537234042553190,0.8363095238095240,0.8537234042553190,0.8363095238095240,0.8537234042553190,0.8363095238095240,0.8537234042553190,0.8363095238095240
,Fold-4,0.8666666666666670,0.8952811893988360,0.8666666666666670,0.9612903225806450,0.8159090909090910,1,0.8159090909090910,1,0.7931034482758620,0.9562753036437250
